取引種別,数量,初期ストップ,入値,出日付,%損益,R倍数,損益（円）,期間,入日付,出値
short,1000,154.0,147,2000-03-22,-4.7619047619,-1.0,-7000.0,3,2000-03-17,154.0
long,1000,137.0,145,2000-04-21,-5.51724137931,-1.0,-8000.0,2,2000-04-20,137.0
long,1000,130.0,139,2000-04-28,-6.47482014388,-1.0,-9000.0,5,2000-04-24,130.0
short,1000,160.0,155,2000-06-23,3.87096774194,1.2,6000,8,2000-06-14,149
long,1000,139.0,145,2000-08-11,-0.689655172414,-0.166666666667,-1000,14,2000-07-25,144
short,1000,149.0,144,2001-02-14,-3.47222222222,-1.0,-5000.0,3,2001-02-09,149.0
short,1000,155.0,150,2001-02-26,2.66666666667,0.8,4000,8,2001-02-15,146
long,1000,149.0,157,2001-05-17,-4.45859872611,-0.875,-7000.0,5,2001-05-11,150.0
long,1000,146.0,153,2001-05-30,-3.26797385621,-0.714285714286,-5000.0,9,2001-05-18,148.0
short,1000,170.0,165,2001-07-04,4.84848484848,1.6,8000,4,2001-06-29,157
short,1000,151.0,143,2001-10-11,0.0,0.0,0,3,2001-10-09,143
short,1000,137.0,133,2002-02-21,0.751879699248,0.25,1000,4,2002-02-18,132
long,1000,128.0,133,2003-03-04,6.01503759398,1.6,8000,5,2003-02-26,141
long,1000,116.0,121,2003-03-25,4.95867768595,1.2,6000,11,2003-03-10,127
short,1000,137.0,132,2003-05-09,3.0303030303,0.8,4000,4,2003-05-06,128
long,1000,143.0,150,2003-07-30,0.666666666667,0.142857142857,1000,7,2003-07-22,151
long,1000,171.0,182,2003-10-07,8.24175824176,1.36363636364,15000,8,2003-09-26,197
short,1000,174.0,169,2004-01-07,-2.95857988166,-1.0,-5000.0,5,2003-12-29,174.0
short,1000,181.0,176,2004-01-13,-2.84090909091,-1.0,-5000.0,3,2004-01-08,181.0
short,1000,200.0,193,2004-06-09,-3.10880829016,-0.857142857143,-6000.0,2,2004-06-08,199.0
short,1000,208.0,202,2004-06-17,-2.47524752475,-0.833333333333,-5000.0,6,2004-06-10,207.0
short,1000,211.0,205,2004-06-30,0.487804878049,0.166666666667,1000,9,2004-06-18,204
long,1000,191.0,195,2004-07-13,0.512820512821,0.25,1000,2,2004-07-12,196
long,1000,254.0,260,2005-08-05,-2.30769230769,-1.0,-6000.0,1,2005-08-05,254.0
long,1000,238.0,244,2005-08-11,7.37704918033,3.0,18000,4,2005-08-08,262
long,1000,293.0,303,2006-01-30,7.26072607261,2.2,22000,5,2006-01-24,325
short,1000,323.0,316,2006-05-25,3.48101265823,1.57142857143,11000,4,2006-05-22,305
short,1000,256.0,249,2006-12-21,-2.40963855422,-0.857142857143,-6000,6,2006-12-14,255
short,1000,206.0,200,2007-12-13,-0.5,-0.166666666667,-1000,8,2007-12-04,201
short,1000,188.0,182,2008-02-08,3.84615384615,1.16666666667,7000,4,2008-02-05,175
short,1000,190.0,185,2008-02-22,2.16216216216,0.8,4000,3,2008-02-20,181
short,1000,188.0,184,2008-05-20,-2.17391304348,-1.0,-4000.0,3,2008-05-16,188.0
long,1000,193.0,200,2008-07-24,2.5,0.714285714286,5000,2,2008-07-23,205
short,1000,222.0,215,2008-08-05,6.97674418605,2.14285714286,15000,3,2008-08-01,200
short,1000,182.0,170,2008-10-28,14.7058823529,2.08333333333,25000,5,2008-10-22,145
short,1000,187.0,173,2008-10-31,-8.09248554913,-1.0,-14000,2,2008-10-30,187
short,1000,203.0,188,2008-11-06,-7.44680851064,-0.933333333333,-14000.0,3,2008-11-04,202.0
long,1000,189.0,193,2010-04-15,-2.0725388601,-1.0,-4000.0,7,2010-04-07,189.0
short,1000,174.0,171,2010-11-29,-1.75438596491,-1.0,-3000.0,2,2010-11-26,174.0
short,1000,176.0,173,2010-12-08,-1.73410404624,-1.0,-3000.0,7,2010-11-30,176.0
long,1000,186.0,190,2012-04-09,-2.10526315789,-1.0,-4000.0,3,2012-04-05,186.0
long,1000,194.0,199,2013-04-10,6.03015075377,2.4,12000,7,2013-04-02,211
long,1000,214.0,224,2013-06-04,37.5,8.4,84000,6,2013-05-28,308
long,1000,202.0,224,2013-06-20,4.91071428571,0.5,11000,9,2013-06-10,235
short,1000,276.0,250,2013-06-28,-2.8,-0.269230769231,-7000,4,2013-06-25,257
long,1000,245.0,257,2013-08-06,6.61478599222,1.41666666667,17000,4,2013-08-01,274
long,1000,251.0,260,2013-08-15,3.84615384615,1.11111111111,10000,4,2013-08-12,270
short,1000,278.0,270,2013-09-09,1.11111111111,0.375,3000,2,2013-09-06,267
